"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2023-09-30","86.1","-1.45","4.97","Springer, George",543807,681867,"single","hit_into_play",,,,,6,"George Springer singles on a line drive to right fielder Josh Lowe.   Whit Merrifield scores.    Daulton Varsho to 2nd.","R","R","R","TOR","TB","X",9,"line_drive",2,1,2023,"-1.2","0.52","0.75","2.66",593160,,662139,1,4,"Bot",178.87,106.02,,,542194,,,7.737530115895796,-125.32406861124443,-0.3870209415750836,-14.064061409402452,21.45403248965815,-26.707631862224133,"3.65","1.67",221,"96.6",13,"87.4",2086,"6.8",716383,681867,542194,670623,678554,691406,670764,668227,622534,666139,"53.72",0.963,0.94,"0.9",1,1,0,4,38,4,"Sinker",3,2,3,2,2,4,4,2,"Standard","Standard",247,"0.065","0.783"
"FC","2023-09-30","84.3","-1.57","5.01","Springer, George",543807,681867,,"foul",,,,,14,"George Springer singles on a line drive to right fielder Josh Lowe.   Whit Merrifield scores.    Daulton Varsho to 2nd.","R","R","R","TOR","TB","S",,,2,0,2023,"-0.17","0.65","1.15","2.57",593160,,662139,1,4,"Bot",,,,,542194,,,6.70108197106214,-122.63329363831963,-0.584541366009051,-3.0211894019543384,23.628227612750198,-25.746857302419244,"3.65","1.67",190,"74",55,"85.1",2278,"6.8",716383,681867,542194,670623,678554,691406,670764,668227,622534,666139,"53.72",,,,,,,,38,3,"Cutter",3,2,3,2,2,3,3,2,"Standard","Standard",210,"0","-0.113"
"FC","2023-09-30","85.7","-1.51","5.03","Springer, George",543807,681867,,"ball",,,,,14,"George Springer singles on a line drive to right fielder Josh Lowe.   Whit Merrifield scores.    Daulton Varsho to 2nd.","R","R","R","TOR","TB","B",,,1,0,2023,"-0.03","0.69","2.39","1.79",593160,,662139,1,4,"Bot",,,,,542194,,,9.351509785294644,-124.49566368037647,-2.812379002323696,-2.0637568084591944,22.896098936548842,-24.624529238435805,"3.57","1.59",,,,"86.7",2255,"6.8",716383,681867,542194,670623,678554,691406,670764,668227,622534,666139,"53.69",,,,,,,,38,2,"Cutter",3,2,3,2,2,3,3,2,"Standard","Standard",228,"0","0.113"
"SI","2023-09-30","86.7","-1.51","5.15","Springer, George",543807,681867,,"ball",,,,,11,"George Springer singles on a line drive to right fielder Josh Lowe.   Whit Merrifield scores.    Daulton Varsho to 2nd.","R","R","R","TOR","TB","B",,,0,0,2023,"-1.2","0.4","-1.51","3.75",593160,,662139,1,4,"Bot",,,,,542194,,,2.4748163520099418,-126.35557561523792,2.001060869650532,-13.39820726094335,24.1536639911742,-28.446630310370693,"3.59","1.57",,,,"87.6",2053,"6.7",716383,681867,542194,670623,678554,691406,670764,668227,622534,666139,"53.84",,,,,,,,38,1,"Sinker",3,2,3,2,2,3,3,2,"Standard","Standard",240,"0","0.074"
"FC","2023-09-30","84.4","-1.76","5","Springer, George",543807,681867,"field_out","hit_into_play",,,,,6,"George Springer lines out to right fielder Josh Lowe.","R","R","R","TOR","TB","X",9,"line_drive",0,0,2023,"0.09","0.66","0.38","2.55",,,,0,3,"Bot",173.65,95.08,,,542194,,,4.806044912419588,-122.86972517891083,-0.6763351572725714,-0.02032996935819166,23.591522589738247,-25.577208157556072,"3.65","1.67",285,"92",18,"84.8",2234,"6.5",716383,681867,542194,670623,678554,691406,670764,668227,622534,666139,"54.04",0.611,0.612,"0",1,0,0,4,26,1,"Cutter",1,2,1,2,2,1,1,2,"Standard","Standard",204,"-0.027","-0.238"
"SL","2023-09-30","79.4","0.12","6.39","Springer, George",543807,606965,"double","hit_into_play",,,,,5,"George Springer doubles (25) on a line drive to left fielder Randy Arozarena.","R","R","R","TOR","TB","X",7,"line_drive",0,1,2023,"0.69","-0.02","0.01","2.3",,,,2,9,"Bot",48.86,121.34,,,542194,,,-1.5194785425480593,-115.70063463815629,-2.270643086709157,6.498923908925304,18.865772137565664,-32.131825124634695,"3.65","1.67",217,"98.1",13,"79.7",2240,"6.1",716383,606965,542194,670623,678554,691406,670764,668227,622534,666139,"54.35",0.954,0.929,"1.25",1,1,1,4,77,2,"Slider",4,4,4,4,4,4,4,4,"Infield shade","Standard",61,"0.075","0.239"
"CH","2023-09-30","83.5","0.13","6.35","Springer, George",543807,606965,,"foul",,,,,9,"George Springer doubles (25) on a line drive to left fielder Randy Arozarena.","R","R","R","TOR","TB","S",,,0,0,2023,"-1.22","0.35","0.45","2.06",,,,2,9,"Bot",,,,,542194,,,3.1397554075710974,-121.63124810953786,-4.1721969035522015,-12.754401434880311,22.262220391664496,-28.120970723270283,"3.65","1.67",,,,"83.7",1616,"6.2",716383,606965,542194,670623,678554,691406,670764,668227,622534,666139,"54.3",,,,,,,,77,1,"Changeup",4,4,4,4,4,4,4,4,"Standard","Standard",236,"0","-0.017"
"SI","2023-09-30","95.4","-1.81","5.72","Springer, George",543807,542888,"field_out","hit_into_play",,,,,5,"George Springer grounds out, second baseman Curtis Mead to first baseman Isaac Paredes.","R","R","R","TOR","TB","X",4,"ground_ball",2,1,2023,"-1.18","0.8","-0.21","2.74",,,,0,1,"Bot",121.72,140.83,,,542194,,,6.9225118637585625,-138.85657091492178,-4.0711238523702855,-16.801250894848163,29.641267173715676,-21.102988276638314,"3.65","1.67",56,"72.9",2,"96.4",2277,"6.7",716383,542888,542194,670623,678554,691406,670764,668227,622534,666139,"53.77",0.146,0.139,"0",1,0,0,2,7,4,"Sinker",0,1,0,1,1,0,0,1,"Standard","Standard",219,"-0.023","-0.281"
"FC","2023-09-30","88","-0.81","6.29","Springer, George",543807,596112,"strikeout","swinging_strike",,,,,9,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",2,,1,2,2023,"-0.01","0.18","0.64","2.09",,,,0,7,"Bot",,,,,542194,,,3.4997488361824973,-128.0842354263089,-4.411922212183493,-0.8064206496629437,27.150528946669027,-29.511446222537188,"3.65","1.67",,,,"87.3",3014,"5.9",716383,596112,542194,670623,678554,691406,670764,668227,622534,666139,"54.62",,0,"0",1,0,0,,60,4,"Cutter",4,4,4,4,4,4,4,4,"Standard","Standard",170,"-0.038","-0.173"
"FC","2023-09-30","88.8","-0.84","6.19","Springer, George",543807,596112,,"swinging_strike",,,,,14,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",,,1,1,2023,"-0.08","0.21","1.01","1.36",,,,0,7,"Bot",,,,,542194,,,4.652145168187869,-129.0674847750907,-6.094611945575988,-1.9356783581852346,28.584466667604325,-28.71868303668822,"3.65","1.67",,,,"87.6",2964,"5.7",716383,596112,542194,670623,678554,691406,670764,668227,622534,666139,"54.76",,,,,,,,60,3,"Cutter",4,4,4,4,4,4,4,4,"Standard","Standard",188,"0","-0.055"
