"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-30","97.2","-2.52","6.09","Romano, Jordan",670764,605447,"field_out","hit_into_play",,,,,1,"Taylor Walls flies out to center fielder Kevin Kiermaier.","R","L","R","TOR","TB","X",8,"fly_ball",1,0,2023,"-0.29","1.27","-0.65","3.24",,542194,,2,8,"Top",93.91,59.44,,,672386,,,5.8427917002603955,-141.4740990913937,-5.171323900501717,-5.168142673134248,30.00083305082814,-14.150456782460024,"3.54","1.66",355,"95.2",33,"99.9",2162,"7.6",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.91",0.123,0.191,"0",1,0,0,3,66,2,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",202,"0.079","-0.35"
"FF","2023-09-30","98.6","-2.34","6.07","Romano, Jordan",670764,605447,,"ball",,,,,14,"Taylor Walls flies out to center fielder Kevin Kiermaier.","R","L","R","TOR","TB","B",,,0,0,2023,"-0.39","1.34","0.42","1.48",,542194,,2,8,"Top",,,,,672386,,,8.619617229097118,-143.15829087058194,-10.388670601880621,-7.275774468892881,31.144576636783995,-11.531481917897707,"3.42","1.61",,,,"101.1",2232,"7.6",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.88",,,,,,,,66,1,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",204,"0","0.023"
"SL","2023-09-30","87.7","-1.85","6.33","Romano, Jordan",542194,605447,"double","hit_into_play",,,,,5,"Christian Bethancourt doubles (16) on a sharp line drive to left fielder Daulton Varsho.","R","R","R","TOR","TB","X",7,"line_drive",1,1,2023,"0.19","-0.35","0.07","2.3",,,,2,8,"Top",41.56,110.09,,,672386,,,4.346214244930514,-127.76171919113065,-2.959403236743096,1.1892606373212142,25.85944527636735,-35.65225336250876,"3.53","1.69",301,"100.1",18,"89.8",2203,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.01",0.44,0.521,"1.25",1,1,1,4,65,3,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",55,"-0.054","0.227"
"SL","2023-09-30","90","-1.82","6.31","Romano, Jordan",542194,605447,,"swinging_strike",,,,,14,"Christian Bethancourt doubles (16) on a sharp line drive to left fielder Daulton Varsho.","R","R","R","TOR","TB","S",,,1,0,2023,"0.18","-0.47","1.29","0.94",,,,2,8,"Top",,,,,672386,,,7.4588742734783295,-130.80744975907103,-6.489558637125262,0.5529279662697464,26.161543985272232,-36.41002647680447,"3.53","1.69",,,,"91.7",2181,"7.3",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.23",,,,,,,,65,2,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",49,"0","-0.022"
"FF","2023-09-30","98.6","-1.87","6.51","Romano, Jordan",542194,605447,,"ball",,,,,11,"Christian Bethancourt doubles (16) on a sharp line drive to left fielder Daulton Varsho.","R","R","R","TOR","TB","B",,,0,0,2023,"-0.33","1.55","-1.56","5.54",,,,2,8,"Top",,,,,672386,,,1.645738928020909,-143.6245596478301,-0.8171244463220069,-4.909203575740651,34.25853723439829,-10.827069071080336,"3.38","1.55",,,,"100.8",2387,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.99",,,,,,,,65,1,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Infield shade","Standard",192,"0","0.016"
"SL","2023-09-30","89.4","-1.93","6.28","Romano, Jordan",622534,605447,"field_out","hit_into_play",,,,,9,"Manuel Margot grounds out, second baseman Whit Merrifield to first baseman Vladimir Guerrero Jr.","R","R","R","TOR","TB","X",4,"ground_ball",1,2,2023,"0.18","-0.21","0.48","2",,,,1,8,"Top",151.45,156.92,,,672386,,,5.658646927969537,-130.16225660137204,-4.217049896280216,0.9717942133287346,24.73451984305566,-33.936217251755956,"3.43","1.63",5,"102.9",-19,"91.5",2147,"7.3",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.17",0.183,0.192,"0",1,0,0,2,64,4,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",62,"0.034","-0.119"
"FF","2023-09-30","99","-1.69","6.36","Romano, Jordan",622534,605447,,"ball",,,,,11,"Manuel Margot grounds out, second baseman Whit Merrifield to first baseman Vladimir Guerrero Jr.","R","R","R","TOR","TB","B",,,0,2,2023,"-0.18","1.4","-0.63","4.22",,,,1,8,"Top",,,,,672386,,,3.403926816538112,-144.12876149048503,-3.7658647188134777,-3.365417795123485,34.909948070537844,-11.973732769948498,"3.36","1.57",,,,"101.1",2318,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.97",,,,,,,,64,3,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",191,"0","0.012"
"FF","2023-09-30","98.9","-1.96","6.35","Romano, Jordan",622534,605447,,"foul_tip",,,,,11,"Manuel Margot grounds out, second baseman Whit Merrifield to first baseman Vladimir Guerrero Jr.","R","R","R","TOR","TB","S",,,0,1,2023,"-0.36","1.51","-1.14","3.17",,,,1,8,"Top",,,,,672386,,,3.1539761688397636,-143.96272861818792,-6.918958059975131,-5.695658489475707,33.834225989134865,-9.776830179700614,"3.43","1.63",,,,"101.1",2434,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.98",,,,,,,,64,2,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",196,"0","-0.036"
"SL","2023-09-30","89.6","-2.35","6.2","Romano, Jordan",622534,605447,,"swinging_strike",,,,,14,"Manuel Margot grounds out, second baseman Whit Merrifield to first baseman Vladimir Guerrero Jr.","R","R","R","TOR","TB","S",,,0,0,2023,"0.35","-0.13","0.88","1.54",,,,1,8,"Top",,,,,672386,,,7.370430480874986,-130.2961281992543,-5.3571637025223175,2.48926422178849,26.74301394583954,-32.68134506928213,"3.43","1.63",,,,"91.3",2281,"7.3",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.17",,,,,,,,64,1,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",81,"0","-0.026"
"FF","2023-09-30","97.3","-2.38","6.09","Romano, Jordan",666139,605447,"field_out","hit_into_play",,,,,14,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","X",2,"ground_ball",3,2,2023,"-0.12","1.4","0.02","1.64",,,,0,8,"Top",128.78,195.28,,,672386,,,6.832186046348915,-141.23648661676012,-9.743304518632964,-3.2382667528792526,32.92444344894883,-11.326983176153638,"3.73","1.83",1,"59.2",-57,"98.8",2296,"7.3",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.17",0.274,0.285,"0",1,0,0,1,63,6,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",194,"0.046","-0.317"
"FF","2023-09-30","96.7","-2.48","6.04","Romano, Jordan",666139,605447,,"foul",,,,,6,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","S",,,3,1,2023,"-0.29","1.43","0.28","2.47",,,,0,8,"Top",,,,,672386,,,8.191764952933054,-140.41333658029063,-7.352358187966295,-5.679372798560934,32.756854234421816,-11.710398635812409,"3.73","1.83",216,"74.3",39,"98.7",2369,"7.6",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.89",,,,,,,,63,5,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",202,"0","-0.079"
"FF","2023-09-30","96.2","-2.47","5.97","Romano, Jordan",666139,605447,,"called_strike",,,,,1,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","S",,,3,0,2023,"-0.3","1.47","-0.7","3.13",,,,0,8,"Top",,,,,672386,,,5.5150680088590285,-139.93443874928,-5.414661214909367,-5.23956267376134,31.320502025884196,-11.841268599520395,"3.59","1.48",,,,"98.4",2379,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"52.97",,,,,,,,63,4,"4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard",199,"0","-0.078"
"SL","2023-09-30","85.1","-2.73","6.02","Romano, Jordan",666139,605447,,"ball",,,,,11,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","B",,,2,0,2023,"0.32","-0.44","-1.13","3.01",,,,0,8,"Top",,,,,672386,,,3.149871367294822,-123.9512048612708,0.14507115746459154,2.728993190849034,24.505724957571193,-36.98515306891082,"3.64","1.57",,,,"86.6",2185,"7.1",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.36",,,,,,,,63,3,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",68,"0","0.135"
"SL","2023-09-30","85.6","-2.52","6.12","Romano, Jordan",666139,605447,,"ball",,,,,11,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","B",,,1,0,2023,"0.44","-0.33","-1.21","3.04",,,,0,8,"Top",,,,,672386,,,2.22728432358977,-124.70432337256084,-0.3104222219912608,4.1602249559443525,25.894089222225674,-35.78701976555478,"3.66","1.61",,,,"87.5",2214,"7.5",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53",,,,,,,,63,2,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",61,"0","0.064"
"SL","2023-09-30","88","-2.28","6.19","Romano, Jordan",666139,605447,,"ball",,,,,14,"Josh Lowe grounds out softly, catcher Alejandro Kirk to first baseman Vladimir Guerrero Jr.","R","L","R","TOR","TB","B",,,0,0,2023,"0.21","-0.44","0.66","0.88",,,,0,8,"Top",,,,,672386,,,6.830098771037615,-127.96780141372017,-5.951258188357154,0.8356210215915775,26.82871451454317,-35.91312408020182,"3.68","1.61",,,,"89.5",2202,"7.3",716383,605447,672386,665489,593160,656305,666182,662139,595281,624415,"53.19",,,,,,,,63,1,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",64,"0","0.036"
"SL","2023-09-26","89.2","-2.29","6.26","Romano, Jordan",665828,605447,"strikeout","swinging_strike",,,,,8,"Oswaldo Cabrera strikes out swinging.","R","L","R","TOR","NYY","S",2,,0,2,2023,"0.42","-0.31","-0.26","1.49",,,,2,9,"Top",,,,,672386,,,4.190465820073432,-129.77663105098168,-5.168951676908086,3.91560537668669,26.801284162968216,-34.800907232905885,"3.2","1.51",,,,"91.2",2198,"7.5",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.03",,0,"0",1,0,0,,63,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",112,"0.003","-0.065"
"FF","2023-09-26","97.3","-2.29","6.24","Romano, Jordan",665828,605447,,"foul",,,,,1,"Oswaldo Cabrera strikes out swinging.","R","L","R","TOR","NYY","S",,,0,1,2023,"-0.1","1.46","-0.67","2.88",,,,2,9,"Top",,,,,672386,,,4.654845744296528,-141.4848038314999,-6.9027177239780775,-2.51033421075404,34.02254184426642,-11.15801401022687,"3.2","1.51",256,"76.5",40,"98.7",2490,"7.3",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.25",,,,,,,,63,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",194,"0","-0.023"
"FF","2023-09-26","97.6","-2.45","6.09","Romano, Jordan",665828,605447,,"foul",,,,,2,"Oswaldo Cabrera strikes out swinging.","R","L","R","TOR","NYY","S",,,0,0,2023,"-0.35","1.18","-0.24","3.24",,,,2,9,"Top",,,,,672386,,,6.902225705343716,-141.9510844977109,-4.982677509839802,-6.304934398298396,30.64675747478461,-15.311175874737579,"3.2","1.51",248,"82",24,"99.6",2373,"7.3",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.18",,,,,,,,63,1,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",202,"0","-0.017"
"SL","2023-09-26","88.9","-2.61","5.99","Romano, Jordan",643396,605447,"strikeout","swinging_strike_blocked",,,,,14,"Isiah Kiner-Falefa strikes out swinging.","R","R","R","TOR","NYY","S",2,,1,2,2023,"0.34","-0.61","0.37","0.45",,,,1,9,"Top",,,,,672386,,,6.711433883907714,-129.2890606512009,-6.349553928828955,2.4225077444154772,26.718497349664723,-37.87263560385459,"3.24","1.46",,,,"90.4",2244,"7.2",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.28",,0,"0",1,0,0,,62,6,"Slider",0,2,2,0,2,0,2,0,"Strategic","Standard",50,"0.006","-0.119"
